4.95,4.28,3.79,3.93,4.46,4.18,4.6,4.27,4.58,4.3,4.46,5.17,4.7
2.82,2.53,2.76,2.85,2.36,2.3,2.57,2.96,2.77,3.02,2.45,2.68,2.59
2.14,1.86,1.96,1.91,1.89,1.72,1.74,2.25,2.25,2.06,1.76,1.96,1.79
6.65,5.58,6.14,6.4,6.4,5.3,5.25,5.77,6.08,6.56,6.51,6.45,5.86
3.01,2.39,2.28,2.6,2.81,2.52,2.42,3.12,2.81,2.96,2.6,3.17,2.68
3.46,3.45,3.94,3.58,3.42,3.38,3.92,3.57,3.18,3.39,3.84,3.26,3.57
4.34,4.02,4.5,4.06,3.9,3.95,4.5,4.18,3.99,4.2,4.51,3.92,4.25
2.02,2.34,2.04,1.91,2.02,1.68,1.92,1.94,1.68,2,2.05,2,2.05
4.19,4.29,4.77,4.93,4.19,4.09,4.24,4.34,3.8,5.13,4.49,4.27,4.5
1.66,1.5,1.25,1.49,1.41,1.59,1.59,1.52,1.56,1.65,1.52,1.58,1.65
